tt_generation_id,assignment_id,class_id,class_name,subject_code,subject_name,teacher_id,teacher_name,room_id,room_name,day,period,start_time,end_time,duration,period_type
TT_20250919_120829_4c651766,ASSIGN_0001,CLASS_001,Grade 6A,PE,Physical Education,TEACHER_050,Edward Robinson,ROOM_012,Classroom 12,Monday,1,9:00,10:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0002,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_012,Classroom 12,Monday,2,10:00,11:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0003,CLASS_001,Grade 6A,PE,Physical Education,TEACHER_050,Edward Robinson,ROOM_020,Classroom 20,Monday,3,11:00,12:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0004,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_009,Classroom 9,Monday,4,12:00,13:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0005,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_001,Science Lab 1,Monday,5,13:00,14:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0006,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_024,Classroom 24,Monday,6,14:00,15:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0007,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_008,Music Room 8,Monday,7,15:00,16:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0008,CLASS_001,Grade 6A,PE,Physical Education,TEACHER_050,Edward Robinson,ROOM_018,Classroom 18,Monday,8,16:00,17:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0009,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_004,Classroom 4,Tuesday,1,9:00,10:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0010,CLASS_001,Grade 6A,SS,Social Studies,TEACHER_034,Matthew Garcia,ROOM_013,Classroom 13,Tuesday,2,10:00,11:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0011,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_003,Classroom 3,Tuesday,3,11:00,12:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0012,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_009,PE Hall 9,Tuesday,4,12:00,13:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0013,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_010,Classroom 10,Tuesday,5,13:00,14:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0014,CLASS_001,Grade 6A,FR,French,TEACHER_065,Daniel Sanchez,ROOM_021,Classroom 21,Tuesday,6,14:00,15:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0015,CLASS_001,Grade 6A,HIN,Hindi,TEACHER_056,Brian Flores,ROOM_020,Classroom 20,Tuesday,7,15:00,16:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0016,CLASS_001,Grade 6A,HIN,Hindi,TEACHER_056,Brian Flores,ROOM_012,Classroom 12,Tuesday,8,16:00,17:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0017,CLASS_001,Grade 6A,FR,French,TEACHER_065,Daniel Sanchez,ROOM_019,Classroom 19,Wednesday,1,9:00,10:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0018,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_004,Chemistry Lab 4,Wednesday,2,10:00,11:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0019,CLASS_001,Grade 6A,HIN,Hindi,TEACHER_056,Brian Flores,ROOM_023,Classroom 23,Wednesday,3,11:00,12:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0020,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_003,Classroom 3,Wednesday,4,12:00,13:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0021,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_002,Classroom 2,Wednesday,5,13:00,14:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0022,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_022,Classroom 22,Wednesday,6,14:00,15:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0023,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_004,Chemistry Lab 4,Wednesday,7,15:00,16:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0024,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_005,Biology Lab 5,Wednesday,8,16:00,17:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0025,CLASS_001,Grade 6A,MATH,Mathematics,TEACHER_083,Karen Martinez,ROOM_003,Classroom 3,Thursday,1,9:00,10:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0026,CLASS_001,Grade 6A,FR,French,TEACHER_065,Daniel Sanchez,ROOM_008,Classroom 8,Thursday,2,10:00,11:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0027,CLASS_001,Grade 6A,SS,Social Studies,TEACHER_034,Matthew Garcia,ROOM_004,Classroom 4,Thursday,3,11:00,12:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0028,CLASS_001,Grade 6A,PE,Physical Education,TEACHER_050,Edward Robinson,ROOM_013,Classroom 13,Thursday,4,12:00,13:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0029,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_009,Classroom 9,Thursday,5,13:00,14:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0030,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_015,Classroom 15,Thursday,6,14:00,15:00,60,subject
TT_20250919_120829_4c651766,ASSIGN_0031,CLASS_001,Grade 6A,ENG,English,TEACHER_005,Robert Ramirez,ROOM_021,Classroom 21,Thursday,7,15:00,16:00,60,extra_subject
TT_20250919_120829_4c651766,ASSIGN_0032,CLASS_001,Grade 6A,SCI,Science,TEACHER_098,Michael Brown,LAB_006,Language Lab 6,Thursday,8,16:00,17:00,60,subject
